t,attack_bias_m,estimated_x_m,estimated_y_m,estimated_z_m,true_x_m,true_y_m,true_z_m,position_error_m,clock_bias_m,mean_abs_residual_m,max_abs_residual_m,n_satellites,converged,n_iterations
84.0,0.0,-2693909.072157126,-4297529.453673538,3854250.0132206925,-2693926.04767216,-4297473.816608274,3854218.1603911705,66.31933270441675,106.08007972053764,10.75639265216887,21.43382889777422,8,True,2
85.0,0.0,-2693897.1473932024,-4297486.302702317,3854216.46843079,-2693926.04767216,-4297473.816608274,3854218.1603911705,31.52762912424322,65.42007577758444,2.7706435306796005,5.508497700095177,7,True,2
86.0,0.0,-2693910.504732923,-4297544.780935698,3854261.6827863413,-2693926.04767216,-4297473.816608274,3854218.1603911705,84.68599416808706,116.68381110134871,12.911986351013184,26.213672265410423,8,True,2
87.0,0.0,-2693895.900271261,-4297480.675550556,3854211.9804239166,-2693926.04767216,-4297473.816608274,3854218.1603911705,31.529396845429044,55.02250080414152,2.157706942409277,4.484790321439505,7,True,2
88.0,0.0,-2693895.767188086,-4297478.069113666,3854210.080423718,-2693926.04767216,-4297473.816608274,3854218.1603911705,31.627162248411103,52.790878769255336,2.659243644880397,5.301756177097559,7,True,2
89.0,0.0,-2693891.625975456,-4297471.332223911,3854210.2914865823,-2693926.04767216,-4297473.816608274,3854218.1603911705,35.39696355704951,49.89541376349566,2.816519566412483,6.459393825381994,7,True,2
90.0,0.0,-2693897.670315468,-4297478.119191099,3854209.1096388996,-2693926.04767216,-4297473.816608274,3854218.1603911705,30.094895056203093,51.78261252356151,4.7570344523659776,6.691823098808527,7,True,2
91.0,0.0,-2693893.3110969923,-4297470.926112878,3854206.0815140675,-2693926.04767216,-4297473.816608274,3854218.1603911705,35.0133915725365,44.68197407633824,2.678643382553543,3.691997665911913,7,True,2
92.0,0.0,-2693889.4961414095,-4297475.397557394,3854207.462772638,-2693926.04767216,-4297473.816608274,3854218.1603911705,38.11761853246162,44.671245157061136,2.7427609131804536,6.197688918560743,7,True,2
93.0,0.0,-2693890.766988966,-4297477.481924546,3854207.7335656495,-2693926.04767216,-4297473.816608274,3854218.1603911705,36.97133809371797,47.9018629516844,1.5109645117606436,2.8464175797998905,7,True,2
94.0,0.0,-2693886.8927921737,-4297476.778161596,3854212.8568577883,-2693926.04767216,-4297473.816608274,3854218.1603911705,39.623261995364196,47.34398495824347,6.109807896826949,13.699078507721424,7,True,2
95.0,0.0,-2693883.034220627,-4297467.356834248,3854207.461853612,-2693926.04767216,-4297473.816608274,3854218.1603911705,44.792235924738996,41.730021548469914,4.365295255290611,9.757859259843826,7,True,2
96.0,0.0,-2693879.9334547943,-4297465.981417476,3854213.3553317776,-2693926.04767216,-4297473.816608274,3854218.1603911705,47.02127022802957,40.56253765082964,4.062303891671555,9.022927194833755,7,True,2
97.0,0.0,-2693880.2357014585,-4297461.499311047,3854206.044553995,-2693926.04767216,-4297473.816608274,3854218.1603911705,48.96167869881011,33.184864445974924,6.841235235333443,14.62669950723648,7,True,2
98.0,0.0,-2693882.316050541,-4297469.168004297,3854215.408240211,-2693926.04767216,-4297473.816608274,3854218.1603911705,44.06402822323418,42.46919833999111,7.559908369822161,17.063279327005148,7,True,2
99.0,0.0,-2693877.5379438903,-4297469.381870392,3854222.687098989,-2693926.04767216,-4297473.816608274,3854218.1603911705,48.92189408183766,46.13995251386164,9.903561844889607,22.56847856938839,7,True,2
100.0,0.0,-2693872.3414528305,-4297459.371300396,3854216.3155254303,-2693926.04767216,-4297473.816608274,3854218.1603911705,55.645560865001045,36.753045667511046,11.336691954838377,26.072745095938444,7,True,2
101.0,0.0,-2693873.847408994,-4297471.984147974,3854218.517258393,-2693926.04767216,-4297473.816608274,3854218.1603911705,52.233636093534884,44.25657020023739,12.378133325172323,28.167904619127512,7,True,2
