t,solved_x,solved_y,solved_z,clock_bias_m,n_satellites_used,converged,mean_abs_residual_m,confidence,kalman_x,kalman_y,kalman_z,raw_x,raw_y,raw_z,raw_error_m,kalman_error_m
1890.0,1137300.8532198567,5162904.255276985,3562426.6469481546,13.509286048797865,6,True,0.8951303847134113,0.9999092948411477,1137300.0088659222,5162897.349847238,3562432.1674851547,1137300.8532198567,5162904.255276985,3562426.6469481546,14.911996545863392,7.0059128300969835
1920.0,1137294.9345795927,5162897.442470726,3562435.974494436,7.329805024471555,6,True,1.7045249255994956,0.9997563740564464,1137298.6948762191,5162897.373832149,3562433.1533126524,1137294.9345795927,5162897.442470726,3562435.974494436,8.805822264781472,6.9805898011537115
1950.0,1137304.7011123884,5162905.833911562,3562432.97736255,16.30686485442787,6,True,0.5908359487851461,0.9999526086900123,1137300.3527037636,5162899.708963883,3562433.1047473084,1137304.7011123884,5162905.833911562,3562432.97736255,16.55440987804089,9.455328950521583
1980.0,1137295.377381035,5162881.966385587,3562428.546065368,-5.28893161742462,6,True,1.2997279092669487,0.9999402599252263,1137298.99300998,5162894.860138042,3562431.8589162673,1137295.377381035,5162881.966385587,3562428.546065368,9.71331381172481,4.380839162635401
2010.0,1137297.7176524762,5162886.473472125,3562433.0190257523,-0.5885458446978538,6,True,0.887612346559763,0.9999615525613123,1137298.6432823858,5162892.560352698,3562432.1770406347,1137297.7176524762,5162886.473472125,3562433.0190257523,4.255090762295116,2.0745768543170673
2040.0,1137299.1214228508,5162895.997322736,3562430.845377995,7.0850287916835475,6,True,1.982163096467654,0.9999442708570265,1137298.773405547,5162893.495704209,3562431.8146363515,1137299.1214228508,5162895.997322736,3562430.845377995,5.630051056160418,3.0037375531889974
2070.0,1137303.210343884,5162898.55001663,3562429.672086383,10.242042988178355,6,True,0.844966359436512,0.9999563416549808,1137299.9845767566,5162894.875402827,3562431.2297747554,1137303.210343884,5162898.55001663,3562429.672086383,9.572316778622593,4.656624015540858
2100.0,1137300.6839531693,5162901.839095365,3562426.0422325707,13.968979694177486,6,True,0.24036618073781332,0.999961031611407,1137300.175572808,5162896.777150946,3562429.8130840366,1137300.6839531693,5162901.839095365,3562426.0422325707,12.95187763486133,6.819714619938542
2130.0,1137298.9259890832,5162894.683410672,3562429.1099657095,5.206263246194411,6,True,1.0716720980902512,0.999957084028072,1137299.8349589529,5162896.206435329,3562429.6214267355,1137298.9259890832,5162894.683410672,3562429.1099657095,5.057013925260902,6.286901246132797
2160.0,1137296.3422791853,5162888.973701725,3562434.2361174296,-0.28191132978870964,6,True,0.7713509574532509,0.9999773034317988,1137298.8775334582,5162894.223773302,3562430.8864217578,1137296.3422791853,5162888.973701725,3562434.2361174296,3.536151464931269,3.878700786944867
2190.0,1137297.243506734,5162884.31829363,3562434.2249185885,-3.180325958125183,6,True,0.9910294537742933,0.9999504952827337,1137298.4335986653,5162891.53263796,3562431.7934295055,1137297.243506734,5162884.31829363,3562434.2249185885,6.72373577846402,1.0444723695609877
2220.0,1137300.028747517,5162893.045476746,3562438.055019355,4.7667303419781595,6,True,0.25279192874828976,0.9999656583615826,1137298.8692415133,5162891.945801532,3562433.5034999056,1137300.028747517,5162893.045476746,3562438.055019355,6.796208788834855,2.1597178105015784
2250.0,1137299.0553239053,5162891.229797169,3562435.7228883905,3.124911203781229,6,True,0.5088457775612673,0.9999784202389769,1137298.9202278638,5162891.749617202,3562434.1116096675,1137299.0553239053,5162891.229797169,3562435.7228883905,3.8958769242264357,2.5409364048336394
2280.0,1137298.1411350789,5162876.507081414,3562436.2964779735,-9.264548121539525,6,True,0.9460508848230044,0.999921417010988,1137298.7104198937,5162887.644835904,3562434.6999898874,1137298.1411350789,5162876.507081414,3562436.2964779735,14.666811072003618,3.9838342019819173
2310.0,1137299.4952954086,5162891.090643322,3562435.9422678477,2.6024723824738776,6,True,0.8410184321304163,0.9999710276834542,1137298.925401148,5162888.588659462,3562435.0402559154,1137299.4952954086,5162891.090643322,3562435.9422678477,4.165463491547582,3.672258664877897
2340.0,1137301.226247739,5162885.576607567,3562432.8130500177,-0.992222951877907,6,True,0.5765295810997486,0.9999363443484802,1137299.548523641,5162887.772926117,3562434.437077026,1137301.226247739,5162885.576607567,3562432.8130500177,5.678484711414619,3.8404985534211273
2370.0,1137297.1346143347,5162886.287830856,3562430.86273221,-0.9764489760102105,6,True,0.6650623145202795,0.9999796237473276,1137298.8857798427,5162887.365190138,3562433.455733256,1137297.1346143347,5162886.287830856,3562430.86273221,4.570730414899705,3.5058937204259775
2400.0,1137299.8972586216,5162892.756998744,3562431.3157229717,4.275055484649316,6,True,1.8943675346672535,0.9999066193084435,1137299.157240254,5162888.812242328,3562432.8813978527,1137299.8972586216,5162892.756998744,3562431.3157229717,2.699944944675848,2.0348437920095153
